iter	Passed	Remaining
585	2386	2704
586	2390	2700
587	2394	2695
588	2397	2690
589	2401	2686
590	2405	2682
591	2409	2677
592	2413	2673
593	2417	2669
594	2421	2665
595	2425	2661
596	2429	2657
597	2433	2652
598	2437	2648
599	2441	2644
600	2445	2640
601	2449	2636
602	2453	2632
603	2458	2628
604	2461	2624
605	2465	2620
606	2468	2615
607	2472	2611
608	2476	2606
609	2480	2602
610	2484	2598
611	2488	2594
612	2492	2590
613	2496	2585
614	2499	2581
615	2503	2577
616	2507	2573
617	2512	2569
618	2516	2564
619	2519	2560
620	2523	2556
621	2528	2552
622	2531	2548
623	2535	2543
624	2539	2539
625	2542	2534
626	2546	2530
627	2550	2525
628	2554	2521
629	2558	2517
630	2562	2513
631	2566	2509
632	2570	2505
633	2574	2500
634	2578	2496
635	2582	2492
636	2586	2488
637	2590	2484
638	2594	2480
639	2597	2475
640	2601	2471
641	2605	2467
642	2609	2463
643	2613	2459
644	2617	2455
645	2621	2451
646	2625	2447
647	2629	2443
648	2633	2439
649	2637	2434
650	2641	2430
651	2645	2426
652	2649	2422
653	2653	2417
654	2657	2413
655	2660	2409
656	2664	2405
657	2668	2401
658	2672	2396
659	2676	2392
660	2680	2388
661	2683	2383
662	2687	2379
663	2691	2374
664	2695	2371
665	2699	2367
666	2703	2363
667	2707	2359
668	2711	2354
669	2716	2351
670	2720	2347
671	2724	2343
672	2728	2339
673	2731	2334
674	2735	2330
675	2739	2325
676	2743	2321
677	2747	2317
678	2751	2313
679	2754	2308
680	2758	2304
681	2762	2300
682	2766	2296
683	2770	2292
684	2774	2288
685	2778	2284
686	2782	2279
687	2785	2275
688	2790	2271
689	2794	2267
690	2798	2263
691	2801	2259
692	2805	2255
693	2809	2251
694	2813	2246
695	2818	2243
696	2821	2238
697	2825	2234
698	2830	2230
699	2834	2226
700	2837	2222
701	2841	2218
702	2845	2213
703	2849	2209
704	2852	2205
705	2857	2201
706	2860	2197
707	2865	2193
708	2869	2189
709	2873	2185
710	2877	2181
711	2881	2177
712	2884	2172
713	2888	2168
714	2892	2164
715	2897	2160
716	2901	2156
717	2905	2152
718	2909	2148
719	2912	2144
720	2916	2140
721	2920	2135
722	2924	2131
723	2927	2127
724	2931	2122
725	2935	2118
726	2938	2114
727	2942	2110
728	2946	2105
729	2950	2101
730	2954	2097
731	2958	2093
732	2961	2088
733	2965	2084
734	2969	2080
735	2974	2077
736	2978	2073
737	2982	2068
738	2985	2064
739	2989	2060
740	2994	2056
741	2997	2052
742	3001	2048
743	3005	2043
744	3009	2039
745	3013	2035
746	3017	2031
747	3021	2028
748	3025	2023
749	3029	2019
750	3034	2016
751	3038	2011
752	3042	2007
753	3045	2003
754	3049	1999
755	3053	1995
756	3057	1991
757	3061	1987
758	3066	1983
759	3070	1979
760	3074	1975
761	3078	1971
762	3082	1967
763	3087	1963
764	3090	1959
765	3095	1955
766	3099	1951
767	3103	1947
768	3107	1943
769	3111	1939
770	3116	1935
771	3120	1931
772	3123	1927
773	3127	1923
774	3131	1919
775	3135	1915
776	3139	1911
777	3143	1907
778	3148	1903
779	3151	1899
780	3155	1895
781	3159	1891
782	3164	1887
783	3167	1882
784	3172	1878
785	3176	1875
786	3180	1871
787	3184	1866
788	3187	1862
789	3191	1858
790	3196	1854
791	3200	1850
792	3204	1846
793	3208	1842
794	3211	1838
795	3215	1834
796	3219	1830
797	3224	1826
798	3228	1822
799	3231	1817
800	3235	1813
801	3239	1809
802	3243	1805
803	3247	1801
804	3251	1797
805	3255	1793
806	3259	1789
807	3263	1785
808	3267	1780
809	3271	1777
810	3275	1773
811	3279	1768
812	3283	1764
813	3286	1760
814	3290	1756
815	3294	1752
816	3298	1747
817	3302	1743
818	3306	1740
819	3309	1735
820	3314	1731
821	3317	1727
822	3321	1723
823	3325	1719
824	3328	1714
825	3332	1710
826	3337	1706
827	3340	1702
828	3344	1698
829	3349	1694
830	3353	1690
831	3357	1686
832	3362	1683
833	3366	1679
834	3371	1675
835	3374	1671
836	3378	1666
837	3382	1662
838	3386	1658
839	3389	1654
840	3393	1650
841	3396	1646
842	3400	1641
843	3404	1637
844	3408	1633
845	3412	1629
846	3416	1625
847	3419	1620
848	3422	1616
849	3425	1612
850	3429	1608
851	3433	1603
852	3437	1599
853	3440	1595
854	3445	1591
855	3448	1587
856	3452	1583
857	3456	1579
858	3459	1574
859	3463	1570
860	3467	1566
861	3471	1562
862	3475	1558
863	3479	1554
864	3483	1550
865	3487	1546
866	3491	1542
867	3494	1538
868	3498	1534
869	3503	1530
870	3507	1526
871	3512	1522
872	3516	1518
873	3520	1514
874	3525	1510
875	3529	1506
876	3533	1502
877	3537	1498
878	3541	1494
879	3545	1490
880	3549	1486
881	3554	1482
882	3557	1478
883	3562	1474
884	3566	1470
885	3570	1466
886	3575	1463
887	3579	1459
888	3583	1455
889	3587	1451
890	3591	1447
891	3595	1443
892	3599	1439
893	3603	1435
894	3608	1431
895	3611	1426
896	3615	1422
897	3619	1418
898	3624	1415
899	3628	1410
900	3632	1406
901	3636	1402
902	3640	1398
903	3644	1394
904	3649	1391
905	3653	1387
906	3657	1383
907	3661	1379
908	3665	1374
909	3669	1370
910	3673	1366
911	3676	1362
912	3680	1358
913	3684	1354
914	3688	1350
915	3692	1346
916	3697	1342
917	3701	1338
918	3705	1334
919	3709	1330
920	3713	1326
921	3717	1322
922	3721	1318
923	3725	1314
924	3728	1310
925	3732	1306
926	3736	1301
927	3740	1297
928	3744	1293
929	3748	1289
930	3753	1286
931	3757	1282
932	3761	1278
933	3766	1274
934	3769	1269
935	3773	1265
936	3776	1261
937	3780	1257
938	3784	1253
939	3788	1249
940	3792	1245
941	3796	1241
942	3801	1237
943	3805	1233
944	3809	1229
945	3812	1225
946	3816	1221
947	3820	1217
948	3824	1213
949	3828	1209
950	3832	1204
951	3836	1200
952	3840	1196
953	3844	1192
954	3848	1188
955	3852	1184
956	3857	1180
957	3861	1176
958	3865	1173
959	3870	1169
960	3874	1165
961	3879	1161
962	3883	1157
963	3886	1153
964	3890	1149
965	3895	1145
966	3900	1141
967	3905	1137
968	3909	1133
969	3913	1129
970	3917	1125
971	3922	1121
972	3926	1117
973	3930	1113
974	3934	1109
975	3938	1105
976	3941	1101
977	3946	1097
978	3949	1093
979	3953	1089
980	3957	1085
981	3961	1081
982	3965	1077
983	3969	1073
984	3973	1069
985	3977	1064
986	3980	1060
987	3984	1056
988	3988	1052
989	3992	1048
990	3996	1044
991	4000	1040
992	4003	1036
993	4007	1032
994	4011	1028
995	4015	1024
996	4020	1020
997	4023	1016
998	4027	1011
999	4031	1007
1000	4035	1003
1001	4039	999
1002	4043	995
1003	4046	991
1004	4050	987
1005	4055	983
1006	4059	979
1007	4062	975
1008	4067	971
1009	4071	967
1010	4075	963
1011	4080	959
1012	4084	955
1013	4088	951
1014	4092	947
1015	4096	943
1016	4100	939
1017	4104	935
1018	4108	931
1019	4113	927
1020	4117	923
1021	4121	919
1022	4125	915
1023	4129	911
1024	4132	907
1025	4136	903
1026	4140	899
1027	4144	894
1028	4148	890
1029	4152	886
1030	4156	882
1031	4159	878
1032	4163	874
1033	4167	870
1034	4170	866
1035	4174	862
1036	4178	858
1037	4182	854
1038	4186	850
1039	4190	846
1040	4194	842
1041	4198	838
1042	4202	834
1043	4206	829
1044	4210	825
1045	4214	821
1046	4218	817
1047	4221	813
1048	4225	809
1049	4230	805
1050	4234	801
1051	4238	797
1052	4242	793
1053	4246	789
1054	4250	785
1055	4254	781
1056	4257	777
1057	4262	773
1058	4267	769
1059	4271	765
1060	4274	761
1061	4278	757
1062	4282	753
1063	4287	749
1064	4291	745
1065	4295	741
1066	4300	737
1067	4305	733
1068	4309	729
1069	4313	725
1070	4318	721
1071	4323	717
1072	4327	713
1073	4332	709
1074	4336	705
1075	4341	702
1076	4345	698
1077	4349	694
1078	4354	690
1079	4357	685
1080	4361	681
1081	4365	677
1082	4369	673
1083	4373	669
1084	4378	665
1085	4383	661
1086	4387	657
1087	4392	653
1088	4396	650
1089	4400	645
1090	4404	641
1091	4409	637
1092	4413	633
1093	4417	629
1094	4421	625
1095	4425	621
1096	4430	617
1097	4434	613
1098	4438	609
1099	4442	605
1100	4446	601
1101	4450	597
1102	4455	593
1103	4459	589
1104	4463	585
1105	4468	581
1106	4471	577
1107	4476	573
1108	4480	569
1109	4485	565
1110	4489	561
1111	4494	557
1112	4498	553
1113	4502	549
1114	4507	545
1115	4511	541
1116	4517	537
1117	4521	533
1118	4525	529
1119	4530	525
1120	4534	521
1121	4538	517
1122	4542	513
1123	4546	509
1124	4550	505
1125	4555	501
1126	4559	497
1127	4564	493
1128	4568	489
1129	4572	485
1130	4576	481
1131	4581	477
1132	4585	473
1133	4589	469
1134	4593	465
1135	4597	461
1136	4601	457
1137	4605	453
1138	4608	449
1139	4612	445
1140	4616	441
1141	4620	436
1142	4623	432
1143	4628	428
1144	4632	424
1145	4636	420
1146	4640	416
1147	4644	412
1148	4648	408
1149	4652	404
1150	4656	400
1151	4660	396
1152	4664	392
1153	4668	388
1154	4672	384
1155	4677	380
1156	4681	376
1157	4685	372
1158	4689	368
1159	4693	364
1160	4697	360
1161	4702	356
1162	4706	352
1163	4710	348
1164	4714	343
1165	4718	339
1166	4722	335
1167	4726	331
1168	4730	327
1169	4734	323
1170	4739	319
1171	4742	315
1172	4747	311
1173	4751	307
1174	4755	303
1175	4759	299
1176	4763	295
1177	4767	291
1178	4771	287
1179	4775	283
1180	4779	279
1181	4783	275
1182	4787	271
1183	4791	267
1184	4794	262
1185	4798	258
1186	4802	254
1187	4806	250
1188	4810	246
1189	4814	242
1190	4818	238
1191	4821	234
1192	4826	230
1193	4830	226
1194	4834	222
1195	4838	218
1196	4842	214
1197	4846	210
1198	4849	206
1199	4854	202
1200	4858	198
1201	4862	194
1202	4866	190
1203	4870	186
1204	4874	182
1205	4878	177
1206	4883	173
1207	4886	169
1208	4890	165
1209	4895	161
1210	4898	157
1211	4903	153
1212	4906	149
1213	4910	145
1214	4914	141
1215	4918	137
1216	4923	133
1217	4927	129
1218	4931	125
1219	4936	121
1220	4940	117
1221	4944	113
1222	4948	109
1223	4952	105
1224	4955	101
1225	4959	97
1226	4963	93
1227	4967	88
1228	4970	84
1229	4975	80
1230	4978	76
1231	4982	72
1232	4986	68
1233	4990	64
1234	4994	60
1235	4998	56
1236	5002	52
1237	5005	48
1238	5009	44
1239	5012	40
1240	5016	36
1241	5020	32
1242	5024	28
1243	5028	24
1244	5031	20
1245	5035	16
1246	5039	12
1247	5043	8
1248	5048	4
1249	5051	0
